日期,收盘
2015/1/30,3.151
2015/2/27,3.077
2015/3/31,3.19
2015/4/30,2.869
2015/5/29,1.96
2015/6/30,1.767
2015/7/31,2.246
2015/8/31,2.307
2015/9/30,2.36
2015/10/30,2.379
2015/11/30,2.599
2015/12/31,2.329
2016/1/29,2.393
2016/2/29,2.279
2016/3/31,2.163
2016/4/29,2.218
2016/5/31,2.338
2016/6/30,2.39
2016/7/29,2.24
2016/8/31,2.15
2016/9/30,2.185
2016/10/31,2.19
2016/11/30,2.3
2016/12/30,2.751
2017/1/26,2.77
2017/2/28,2.783
2017/3/31,2.885
2017/4/28,3.16
2017/5/31,3.475
2017/6/30,3.453
2017/7/31,3.428
2017/8/31,3.428
2017/9/29,3.46
2017/10/31,3.583
2017/11/30,3.7
2017/12/29,3.803
2018/1/31,3.583
2018/2/28,3.313
2018/3/30,3.35
2018/4/27,3.007
2018/5/31,3.185
2018/6/29,3.21
2018/7/31,2.893
2018/8/31,2.836
2018/9/28,2.99
2018/10/31,2.837
2018/11/30,2.645
2018/12/28,2.575
2019/1/31,2.415
2019/2/28,2.409
2019/3/29,2.399
2019/4/30,2.685
2019/5/31,2.567
2019/6/28,2.654
2019/7/31,2.587
2019/8/30,2.537
2019/9/30,2.67
2019/10/31,2.72
2019/11/29,2.68
2019/12/31,2.44
